bin_id,pgn,count,iat_count,jitter_count,sum_iat,max_iat,sum_jitter
1774596208,65280,14,13,12,280,89,241
1774596208,126992,6,5,4,289,180,319
1774596208,127245,15,14,13,311,69,169
1774596208,127250,60,59,58,330,70,469
1774596208,127251,17,16,15,320,89,225
1774596208,127252,15,14,13,311,81,229
1774596208,127257,15,14,13,301,80,217
1774596208,127258,15,14,13,300,80,224
1774596208,129025,24,23,22,300,41,194
1774596208,129026,8,7,6,262,100,230
1774596208,129029,4,3,2,240,220,420
1774596208,129038,1,0,0,0,0,0
1774596208,129539,2,1,0,230,230,0
1774596208,129540,1,0,0,0,0,0
1774596208,129793,1,0,0,0,0,0
1774596208,130306,6,5,4,269,100,167
1774596208,130310,3,2,1,230,150,70
1774596208,130311,3,2,1,231,141,51
1774596208,130312,1,0,0,0,0,0
1774596208,130314,1,0,0,0,0,0
1774596208,130316,1,0,0,0,0,0
1774596208,130323,2,1,0,239,239,0
1774596208,130577,2,1,0,230,230,0
1774596208,130578,6,5,4,270,100,134
1774596208,130843,15,14,13,299,80,241
1774596209,65280,13,13,13,279,79,249
1774596209,126992,3,3,3,230,181,322
1774596209,127245,13,13,13,280,69,202
1774596209,127250,52,52,52,270,61,463
1774596209,127251,14,14,14,280,80,233
1774596209,127252,13,13,13,280,80,232
1774596209,127257,13,13,13,280,79,234
1774596209,127258,13,13,13,280,79,231
1774596209,129025,21,21,21,280,49,257
1774596209,129026,6,6,6,280,100,284
1774596209,129029,2,2,2,230,220,420
1774596209,129539,1,1,1,230,230,0
1774596209,129540,2,2,1,470,240,10
1774596209,130306,5,5,5,282,90,121
1774596209,130310,3,3,3,310,140,170
1774596209,130311,3,3,3,321,139,146
1774596209,130323,1,1,1,230,230,9
1774596209,130577,1,1,1,230,230,0
1774596209,130578,5,5,5,281,99,192
1774596209,130843,13,13,13,271,71,181
1774596209,65280,31,31,31,731,81,604
1774596209,126992,9,9,9,701,191,985
1774596209,127245,31,31,31,731,80,603
1774596209,127250,123,123,123,731,70,1200
1774596209,127251,34,34,34,730,80,609
1774596209,127252,31,31,31,730,79,628
1774596209,127257,31,31,31,730,80,604
1774596209,127258,31,31,31,731,79,593
1774596209,129025,49,49,49,731,41,517
1774596209,129026,16,16,16,749,100,572
1774596209,129029,6,6,6,700,230,1280
1774596209,129038,1,1,0,619,619,0
1774596209,129539,3,3,3,700,240,20
1774596209,129540,3,3,3,700,240,20
1774596209,129793,2,2,1,1060,750,440
1774596209,129809,1,0,0,0,0,0
1774596209,130306,13,13,13,749,100,383
1774596209,130310,6,6,6,709,150,355
1774596209,130311,6,6,6,700,141,276
1774596209,130312,3,3,2,930,460,270
1774596209,130314,3,3,2,930,460,270
1774596209,130316,2,2,1,939,479,19
1774596209,130323,3,3,3,700,249,56
1774596209,130577,3,3,3,709,240,11
1774596209,130578,13,13,13,749,100,502
1774596209,130843,30,30,30,709,80,580
1774596210,65280,10,10,10,230,70,171
1774596210,126992,3,3,3,239,179,328
1774596210,127245,10,10,10,239,70,201
1774596210,127250,40,40,40,239,69,368
1774596210,127251,11,11,11,230,70,172
1774596210,127252,10,10,10,230,71,194
1774596210,127257,10,10,10,240,71,204
1774596210,127258,10,10,10,239,70,205
1774596210,129025,16,16,16,239,48,202
1774596210,129026,5,5,5,239,90,189
1774596210,129029,2,2,2,240,230,440
1774596210,129038,2,2,2,690,660,671
1774596210,129539,1,1,1,230,230,0
1774596210,129540,1,1,1,230,230,0
1774596210,129794,1,0,0,0,0,0
1774596210,130306,4,4,4,230,89,90
1774596210,130310,2,2,2,231,140,100
1774596210,130311,2,2,2,239,138,84
1774596210,130323,1,1,1,221,221,9
1774596210,130577,1,1,1,231,231,8
1774596210,130578,4,4,4,239,90,93
1774596210,130843,11,11,11,261,70,187
1774596210,65280,30,30,30,699,89,614
1774596210,126992,9,9,9,700,180,916
1774596210,127245,30,30,30,700,80,602
1774596210,127250,121,121,121,760,70,1092
1774596210,127251,33,33,33,709,81,629
1774596210,127252,30,30,30,709,81,617
1774596210,127257,30,30,30,700,80,544
1774596210,127258,30,30,30,700,80,564
1774596210,129025,49,49,49,740,49,570
1774596210,129026,15,15,15,700,100,642
1774596210,129029,6,6,6,691,230,1289
1774596210,129038,3,3,3,720,410,750
1774596210,129039,1,0,0,0,0,0
1774596210,129539,3,3,3,710,240,26
1774596210,129540,3,3,3,710,240,10
1774596210,129793,1,1,1,801,801,491
1774596210,130306,12,12,12,709,100,479
1774596210,130310,6,6,6,709,150,341
1774596210,130311,6,6,6,701,148,297
1774596210,130312,3,3,3,940,469,667
1774596210,130314,3,3,3,940,470,669
1774596210,130316,2,2,2,931,470,27
1774596210,130323,3,3,3,710,240,39
1774596210,130577,3,3,3,700,240,13
1774596210,130578,12,12,12,700,100,436
1774596210,130843,30,30,30,709,81,555
1774596211,65280,12,12,12,330,80,331
1774596211,126992,4,4,4,420,190,480
1774596211,127245,12,12,12,329,89,290
1774596211,127250,47,47,47,269,69,483
1774596211,127251,14,14,14,330,79,282
1774596211,127252,12,12,12,321,79,308
1774596211,127257,12,12,12,320,80,304
1774596211,127258,12,12,12,320,80,302
1774596211,129025,18,18,18,280,40,236
1774596211,129026,5,5,5,231,91,183
1774596211,129029,2,2,2,239,229,447
1774596211,129038,2,2,2,191,160,249
1774596211,129539,1,1,1,230,230,10
1774596211,129540,1,1,1,230,230,10
1774596211,129793,1,1,1,469,469,332
1774596211,129794,1,1,0,1110,1110,0
1774596211,130306,5,5,5,331,100,158
1774596211,130310,2,2,2,231,140,99
1774596211,130311,3,3,3,378,148,148
1774596211,130323,2,2,2,470,240,20
1774596211,130577,1,1,1,230,230,10
1774596211,130578,4,4,4,231,91,139
1774596211,130843,12,12,12,321,80,245
1774596211,65280,33,33,33,741,80,610
1774596211,126992,10,10,10,720,190,1114
1774596211,127245,32,32,32,730,80,618
1774596211,127250,130,130,130,731,70,1205
1774596211,127251,36,36,36,731,71,511
1774596211,127252,33,33,33,740,71,547
1774596211,127257,32,32,32,730,70,540
1774596211,127258,32,32,32,730,71,542
1774596211,129025,52,52,52,740,49,698
1774596211,129026,16,16,16,810,110,795
1774596211,129029,6,6,6,700,230,1280
1774596211,129539,4,4,4,940,241,33
1774596211,129540,3,3,3,700,240,50
1774596211,129793,2,2,2,751,451,320
1774596211,130306,13,13,13,730,100,406
1774596211,130310,7,7,7,849,150,409
1774596211,130311,6,6,6,700,148,300
1774596211,130312,3,3,3,1149,470,700
1774596211,130314,3,3,3,1150,470,699
1774596211,130316,2,2,2,930,470,10
1774596211,130323,3,3,3,709,249,29
1774596211,130577,4,4,4,939,240,29
1774596211,130578,13,13,13,800,109,535
1774596211,130843,32,32,32,729,78,550
1774596212,65280,11,11,11,250,79,207
1774596212,126992,4,4,4,251,171,312
1774596212,127245,12,12,12,261,79,237
1774596212,127250,47,47,47,260,60,386
1774596212,127251,12,12,12,250,79,224
1774596212,127252,11,11,11,259,79,211
1774596212,127257,12,12,12,269,79,186
1774596212,127258,12,12,12,270,71,175
1774596212,129025,19,19,19,260,41,170
1774596212,129026,7,7,7,260,100,327
1774596212,129029,4,4,4,460,221,843
1774596212,129038,1,1,1,1009,1009,978
1774596212,129539,1,1,1,220,220,21
1774596212,129540,1,1,1,230,230,10
1774596212,130306,4,4,4,230,99,173
1774596212,130310,2,2,2,221,140,128
1774596212,130311,2,2,2,221,139,123
